이름,유형,리뷰 수,주소,영업 시간,포장 가능 여부,반려동물 동반 가능 여부,메뉴
루엘드파리,베이커리,"['별점\n4.51', '방문자 리뷰 5,266', '블로그 리뷰 1,711']",서울 서초구 서초중앙로 18 서초쌍용플래티넘 112호,"[{'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '08:00 - 20:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '08:00 - 21:00'}]",True,False,"['오리지날 크루아상', '아몬드 크루아상', '초콜렛 크루아상', '사과파이']"
던킨 라이브 강남,도넛,"['별점\n4.46', '방문자 리뷰 8,725', '블로그 리뷰 1,310']",서울 서초구 강남대로 373 홍우빌딩 1층,"[{'day': '화', 'hours': '07:00 - 23:00'}, {'day': '수', 'hours': '07:00 - 23:00'}, {'day': '목', 'hours': '07:00 - 23:00'}, {'day': '금', 'hours': '07:00 - 23:00'}, {'day': '토', 'hours': '07:00 - 22:30'}, {'day': '일', 'hours': '07:00 - 22:30'}, {'day': '월', 'hours': '07:00 - 23:00'}]",True,False,"['DC 아이스 카페라떼', '아이스카페라떼', '킹 사이즈 아메리카노', '(Fresh)던킨랩_치킨텐더']"
비지엠커피,"카페,디저트","['별점\n4.79', '방문자 리뷰 476', '블로그 리뷰 713']",서울 서초구 방배천로2길 51 1층,"[{'day': '화', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 22:00\n21:30 라스트오더'}, {'day': '월', 'hours': '12:00 - 22:00\n21:30 라스트오더'}]",True,True,"['아메리카노', '라떼', '바닐라빈 라떼', '모카 라떼']"
공미학 서초교대점,"카페,디저트","['별점\n4.41', '방문자 리뷰 2,271', '블로그 리뷰 1,470']",서울 서초구 서초대로48길 101 그룹메가타워 1F,"[{'day': '화', 'hours': '11:30 - 22:00'}, {'day': '수', 'hours': '11:30 - 22:00'}, {'day': '목', 'hours': '11:30 - 22:00'}, {'day': '금', 'hours': '11:30 - 22:00'}, {'day': '토', 'hours': '11:30 - 22:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '11:30 - 22:00'}]",True,True,"['아메리카노', '카페라떼', '서초의미학', '크림의미학']"
챱챱케이크,케이크전문,"['방문자 리뷰 1,327', '블로그 리뷰 598']",서울 서초구 서초중앙로 110 104호 1층 대로변,"[{'day': '화', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '수', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '목', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '금', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '토', 'hours': '11:00 - 21:00\n20:50 라스트오더'}, {'day': '일', 'hours': '11:00 - 20:00\n19:50 라스트오더'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,True,"['홈메이드 러블리 뚱빼로 (시즌판매)', '벌스데이 보틀케이크 (고정문구)', '당일 도시락 케이크', '당일 레터링 보틀 케이크']"
서울붕어베이커리,베이커리,"['방문자 리뷰 138', '블로그 리뷰 25']",서울 서초구 강남대로61길 17 밀라텔 쉐르빌,"[{'day': '화', 'hours': '11:30 - 21:30'}, {'day': '수', 'hours': '11:30 - 21:30'}, {'day': '목', 'hours': '11:30 - 21:30'}, {'day': '금', 'hours': '11:30 - 21:30'}, {'day': '토', 'hours': '12:00 - 20:30'}, {'day': '일', 'hours': '12:00 - 20:30'}, {'day': '월', 'hours': '11:30 - 21:30'}]",True,False,"['멕시칸치킨붕어', '치즈피자', '고구마치즈피자', '찐득! 찐고구마 붕어']"
미니말레 커피뢰스터 양재본점,"카페,디저트","['별점\n4.62', '방문자 리뷰 1,744', '블로그 리뷰 1,485']",서울 서초구 강남대로10길 32,"[{'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '09:00 - 20:00'}, {'day': '일', 'hours': '09:00 - 20:00'}, {'day': '월', 'hours': '08:00 - 20:00'}]",True,False,"['헬싱키 라떼 (시그니처)', '아메리카노 (듄켈)', '아메리카노 (밸런스)', '라떼']"
디끌레,"카페,디저트","['방문자 리뷰 184', '블로그 리뷰 137']",서울 서초구 신반포로42길 11 1층 101호,"[{'day': '화', 'hours': '10:00 - 20:00'}, {'day': '수', 'hours': '10:00 - 20:00'}, {'day': '목', 'hours': '10:00 - 20:00'}, {'day': '금', 'hours': '10:00 - 20:00'}, {'day': '토', 'hours': '10:00 - 20:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '10:00 - 20:00'}]",True,False,"['무화과프레지에', '커피밀푀유', '타르트타탕', '카시스몽블랑']"
장꼬방,떡카페,"['별점\n4.46', '방문자 리뷰 1,665', '블로그 리뷰 871']",서울 서초구 강남대로61길 27 1층,"[{'day': '매일', 'hours': '09:00 - 22:00\n21:20 라스트오더'}]",True,True,"['수능 선물 찹쌀떡 1상자 - 10개입', '합격 기원 쑥찹쌀떡 1상자 10개입', '수험생 간식 찹쌀떡 1개', '식사대용 쑥찹쌀떡']"
화이트리에 반포본점,베이커리,"['별점\n4.48', '방문자 리뷰 2,084', '블로그 리뷰 325']",서울 서초구 신반포로 219 1층 1호,"[{'day': '매일', 'hours': '10:00 - 20:00'}]",True,True,"['프리미엄생식빵 FULL SIZE', '프리미엄생식빵 HALF SIZE', '딸기버터잼', '딸기 장미잼']"
라이프브레드 방배본점,베이커리,"['방문자 리뷰 557', '블로그 리뷰 126']",서울 서초구 서초대로34길 19 1층,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '09:30 - 18:30'}, {'day': '금', 'hours': '09:30 - 18:30'}, {'day': '토', 'hours': '09:30 - 18:30'}, {'day': '일', 'hours': '09:30 - 18:30'}, {'day': '월', 'hours': '09:30 - 18:30'}]",True,False,"['소금빵', '메론 소금빵', '올리브빵', '명란 바게트']"
깁미스모어,"카페,디저트","['방문자 리뷰 709', '블로그 리뷰 318']",서울 서초구 방배천로8길 31 1층,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '목', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '금', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '월', 'hours': '12:00 - 23:00\n22:30 라스트오더'}]",False,False,['아메리카노']
오우아,"카페,디저트","['별점\n4.34', '방문자 리뷰 1,488', '블로그 리뷰 1,220']",서울 서초구 방배천로6길 3-4 1층,"[{'day': '화', 'hours': '11:00 - 22:00'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '10:00 - 22:00'}, {'day': '일', 'hours': '10:00 - 21:00'}, {'day': '월', 'hours': '11:00 - 22:00'}]",True,False,"['단호박케이크', '아인슈페너']"
프릳츠 양재점,"카페,디저트","['별점\n4.51', '방문자 리뷰 6,728', '블로그 리뷰 2,688']",서울 서초구 강남대로37길 24-11,"[{'day': '화', 'hours': '08:00 - 20:30'}, {'day': '수', 'hours': '08:00 - 20:30'}, {'day': '목', 'hours': '08:00 - 20:30'}, {'day': '금', 'hours': '08:00 - 20:30'}, {'day': '토', 'hours': '10:00 - 20:30'}, {'day': '일', 'hours': '10:00 - 20:30'}, {'day': '월', 'hours': '08:00 - 20:30'}]",True,True,"['에스프레소', '아메리카노', '롱블랙', '플랫 화이트']"
메종엠오,베이커리,"['별점\n4.55', '방문자 리뷰 1,518', '블로그 리뷰 425']",서울 서초구 방배로26길 22 1층 코너,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:30 - 20:00'}, {'day': '금', 'hours': '11:30 - 20:00'}, {'day': '토', 'hours': '11:30 - 20:00'}, {'day': '일', 'hours': '11:30 - 20:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['밀푀유', '기본 마들렌', '쿠키 선물세트', '마들렌 선물세트']"
베이크샵 피봇,베이커리,"['방문자 리뷰 642', '블로그 리뷰 420']",서울 서초구 방배로23길 5 1층,"[{'day': '화', 'hours': '08:00 - 18:00'}, {'day': '수', 'hours': '08:00 - 18:00'}, {'day': '목', 'hours': '08:00 - 18:00'}, {'day': '금', 'hours': '08:00 - 18:00'}, {'day': '토', 'hours': '08:00 - 18:00'}, {'day': '일', 'hours': '08:00 - 18:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",False,False,"['어텀 온 더 피그', '초코 풍덩 번', '두유 크림 시나몬 번', 'Peace 피스 타르트']"
