uuid,name,slope,parking_area,number_of_households,area,is_remodeled,construction_year,green_space_area,internet_speed,rating,common_area_cleaning_frequancy,garbage_recycling_frequency,concierge_service,average_price_per_pyeong,newlyweds_benefits,pop,pop_ratio,pop_increase,taxi,income,income_increase,geometry
apartment_1165010806,밀라텔쉐르빌(엠쉐르빌),1.357590437,128,125,6175.7,거짓,2001,19.65498744,,0,매주,매주,1,24310177.37,,564,"[0.104227308, 3.591107652, 20.75919539, 20.93923169, 20.82636282, 17.32153286, 11.95966415, 4.49867814]",56,45,4458.61,12.58,"MultiPolygon (((127.02522524 37.49863024, 127.02494664 37.49854551, 127.0248592 37.49872822, 127.02513687 37.49881185, 127.02522524 37.49863024)))"
apartment_1165010632,신반포19차,0.213828161,0,242,1805.09,거짓,1982,19.99174107,,2,매주,매주,1,50837151.49,,667,"[2.444660901, 10.1972107, 17.04775882, 19.02629528, 21.28903047, 15.45933834, 10.5863115, 3.949393989]",4,2,5985.13,11.12,"MultiPolygon (((127.0101925 37.51348074, 127.01015128 37.51347831, 127.00979425 37.513747, 127.00973714 37.51379259, 127.00948306 37.51398204, 127.0092886 37.51412181, 127.01012701 37.51495617, 127.01106604 37.51434184, 127.0101925 37.51348074)))"
apartment_1165010816,강남역푸르지오시티오피스텔,0.369096905,25,137,23833.35,거짓,2014,18.52384731,,2,매주,매주,1,22025721.49,,825,"[1.784672676, 7.992283862, 21.0212695, 22.86715993, 22.23064801, 13.9226728, 7.766030726, 2.415262504]",28,23,5288.83,16.6,"MultiPolygon (((127.02911434 37.49179321, 127.02909724 37.49183029, 127.02935703 37.49190491, 127.02944714 37.49171854, 127.02915179 37.49163374, 127.02916034 37.49161534, 127.02884115 37.49151924, 127.02875964 37.49168832, 127.02911434 37.49179321)))"
apartment_1165010822,롯데캐슬주피터,1.361078024,288,110,1735,거짓,2003,20.0797526,,3,매주,매주,1,51238851.03,,323,"[1.668658468, 6.640079181, 15.72501903, 21.0902935, 24.21749312, 16.929804, 10.22249425, 3.506158444]",7,6,8199.55,29.66,"MultiPolygon (((127.03076723 37.48639811, 127.03034774 37.48627409, 127.02998271 37.48702966, 127.03000137 37.48706254, 127.03039433 37.48718173, 127.03076723 37.48639811)))"
apartment_1165010720,신반포궁전,3.16932559,54,108,1629.25,거짓,1984,19.31701999,,3,매주,매주,1,48804303.99,,331,"[1.613480026, 6.013598272, 14.25427063, 20.98265838, 25.56822774, 18.68339676, 10.61511089, 2.269257299]",12,3,6976.29,20.06,"MultiPolygon (((127.00003846 37.50057052, 127.00053545 37.50076702, 127.00063857 37.50060943, 127.00089798 37.50072432, 127.00107451 37.50044303, 127.00105211 37.5004157, 127.00110288 37.50036769, 127.00129833 37.50014668, 127.00141181 37.49977999, 127.0"
apartment_1165010630,신반포20차,1.23451376,0,112,4667.65,거짓,1983,19.95724765,,4,매주,매주,1,47133032.3,,302,"[2.076352308, 8.138672899, 14.38505008, 19.7064486, 24.07723449, 18.25354854, 10.59214492, 2.770548175]",1,1,7536.91,30.39,"MultiPolygon (((127.01121675 37.51067739, 127.01168547 37.51038346, 127.01202404 37.51051136, 127.01216487 37.51043256, 127.0124629 37.51024931, 127.01259091 37.51016997, 127.01256728 37.51014884, 127.01249907 37.51010711, 127.01225556 37.50986982, 127.0"
apartment_1165010633,신반포청구,0.285358548,0,347,34549.53,거짓,1998,19.55768694,,4,매주,매주,1,57589194.19,,467,"[2.978950302, 8.387786121, 13.84241424, 20.44155473, 23.39971987, 16.90601093, 10.48283571, 3.560728095]",10,4,6842.18,9.34,"MultiPolygon (((127.00904803 37.51383458, 127.00851525 37.51343097, 127.00789072 37.5141145, 127.0078508 37.51416144, 127.00774946 37.51426912, 127.00774222 37.5142775, 127.00774007 37.5142848, 127.00789754 37.51443886, 127.00832004 37.5148505, 127.00852"
apartment_1165010109,방배현대홈타운1차,0.312661827,792,644,2950.95,거짓,1999,20.89413452,,4,매주,매주,1,29778378.38,,366,"[1.218031935, 8.817878407, 16.76290176, 17.19833987, 21.6818496, 18.37461081, 11.87361785, 4.072769782]",20,21,6526.82,17.88,"MultiPolygon (((126.98322913 37.4894128, 126.98323825 37.48930056, 126.9830322 37.48934479, 126.9830325 37.48940816, 126.98322913 37.4894128)),((126.98457593 37.48756728, 126.98456547 37.48751115, 126.98431223 37.48743844, 126.98428049 37.48749811, 126.9"
apartment_1165010851,삼풍,2.717706203,3776,2390,23767.72,거짓,1988,18.02413043,,5,매주,매주,1,16140432.3,,502,"[1.188128059, 11.07333794, 9.373983079, 14.24746782, 25.90840041, 17.94688203, 12.17765594, 8.084144721]",2,3,7246.1,13.09,"MultiPolygon (((127.0167928 37.49704693, 127.01616434 37.49671322, 127.01598881 37.49662304, 127.01637935 37.49619899, 127.01673594 37.49581103, 127.01651514 37.49577497, 127.01571123 37.49563975, 127.0160276 37.49501381, 127.01593756 37.49500824, 127.01"
apartment_1165010108,대우효령,6.476619244,364,364,4303,거짓,1992,20.00095738,,5,매주,매주,1,24418621.59,,426,"[1.409409137, 12.48400521, 17.06782056, 17.99715263, 20.23849076, 16.49020699, 11.27500624, 3.037908476]",2,1,6461.88,15.67,"MultiPolygon (((126.99457289 37.47928239, 126.99462053 37.47918561, 126.99475391 37.47890855, 126.99463723 37.47885731, 126.99449197 37.47891423, 126.99428956 37.47894079, 126.99413478 37.47888385, 126.99389189 37.47879084, 126.99379371 37.47894122, 126."
apartment_1165010804,진흥,0.597328424,744,615,6175.7,거짓,1979,19.2050851,,7,매주,매주,1,17153300.99,,608,"[0.171303738, 3.750191995, 12.49421569, 17.81686055, 23.5994134, 21.20350904, 15.01940497, 5.945100625]",14,13,7365.64,23.87,"MultiPolygon (((127.022896 37.49665718, 127.02169209 37.49628483, 127.02155987 37.49656935, 127.02133706 37.4970905, 127.02105832 37.49780499, 127.0212998 37.49786361, 127.02144929 37.49789222, 127.02158946 37.49794156, 127.0218951 37.49794074, 127.02219"
apartment_1165010639,블루힐하우스,0.335742742,129,125,599.03,거짓,1999,19.606747,,7,매주,매주,1,50346990.35,,450,"[0.34552789, 6.016957033, 11.06082933, 16.24439251, 23.67634751, 20.46559552, 15.11217014, 7.078180055]",8,5,7267.96,6.67,"MultiPolygon (((127.00586754 37.51170261, 127.0060813 37.51177818, 127.00608552 37.51176769, 127.00616412 37.51179791, 127.00617994 37.5117618, 127.00622373 37.51177524, 127.00620421 37.51180967, 127.00618628 37.51180337, 127.00605679 37.51204977, 127.00"
apartment_1165010125,쌍용예가클래식,0.145911127,205,216,2950.95,거짓,1978,20.60265754,,9,매주,매주,1,35622750.47,,685,"[3.881991396, 9.985209744, 13.32549285, 19.66313889, 24.12483881, 15.57799868, 9.157794753, 4.283534881]",11,5,7087.57,18.45,"MultiPolygon (((126.98826559 37.49335782, 126.98729592 37.49296133, 126.98723924 37.49298139, 126.98708801 37.49352828, 126.98712578 37.49354835, 126.98696825 37.49411028, 126.98700602 37.4941705, 126.98755382 37.49439635, 126.9876483 37.49435622, 126.98"
