가격,거래 유형,건축물 용도,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
"7억 3,000",전세,공동주택,80.7㎡/59.94㎡(전용률74%),15만원,-,-,개별난방/도시가스,2458748893,"25, 공기좋은 숲세권, 초입동, 초등학교 인접,교통 편리",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_233/hscp_img_1394793110503Pr2Qa_JPEG/photoinfra_1394793110214.jpg,즉시입주 협의가능,서초더샵포레 101동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),39세대,11/18층,계단식
13억,매매,공동주택,80.7㎡/59.94㎡(전용률74%),13만원,-,-/-,개별난방/도시가스,2458747019,"25, 공기좋은 도심속 숲세권 대단지 초입동, 트인숲전망,초등학교 인접",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20191210_31/hscp_img_1575943386211IU87K_JPEG/photoinfra_1575943385962.jpg,즉시입주,서초더샵포레 101동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),50세대,17/18층,계단식
12억,전세,공동주택,152.71㎡/114.71㎡(전용률75%),25만원,-,-,개별난방/도시가스,2458746033,"46,공기 좋은 도심속 숲세권 대단지 초입동,초등학교 옆단지",4/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_273/hscp_img_1394792964862oKGub_JPEG/photoinfra_1394792964582.jpg,즉시입주 협의가능,서초더샵포레 107동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),165세대,17/20층,계단식
"7억 3,000",전세,공동주택,80.7㎡/59.94㎡(전용률74%),18만원,-,-,개별난방/도시가스,2458731919,25 남향.대출무.산전망.입구가까운동.초등3분거리,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_233/hscp_img_1394793110503Pr2Qa_JPEG/photoinfra_1394793110214.jpg,즉시입주,서초더샵포레 101동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),39세대,11/18층,계단식
"7억 3,000",전세,공동주택,80.7㎡/59.94㎡(전용률74%),15만원,-,-,개별난방/도시가스,2458645893,25 예쁜 산전망 귀한전세 도배 초등인접 편의시설굿  빠른입주가,3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_233/hscp_img_1394793110503Pr2Qa_JPEG/photoinfra_1394793110214.jpg,즉시입주 협의가능,서초더샵포레 101동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),39세대,11/18층,계단식
5억/210,월세,공동주택,152.71㎡/114.71㎡(전용률75%),22만원,-,-,개별난방/도시가스,2458577337,46 대출무.정원전망.집상태깨끗.오래거주가능,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_273/hscp_img_1394792964862oKGub_JPEG/photoinfra_1394792964582.jpg,즉시입주,서초더샵포레 112동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),165세대,2/17층,계단식
"9억 2,000",전세,공동주택,152.71㎡/114.71㎡(전용률75%),22만원,-,-,개별난방/도시가스,2458578056,46 정원전망.깨끗올수리.언남초5분.산책로인근,4/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_273/hscp_img_1394792964862oKGub_JPEG/photoinfra_1394792964582.jpg,2024년 12월 27일 협의가능,서초더샵포레 112동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),165세대,2/17층,계단식
10억,전세,공동주택,152.71㎡/114.71㎡(전용률75%),22만원,-,-,개별난방/도시가스,2458578390,46 로얄동.이쁘고 깨끗한집.초등3분거리.입주2025.1월부터,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_273/hscp_img_1394792964862oKGub_JPEG/photoinfra_1394792964582.jpg,2025년 2월 3일 협의가능,서초더샵포레 103동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),165세대,13/19층,계단식
5억/240,월세,공동주택,152.71㎡/114.71㎡(전용률75%),22만원,-,-,개별난방/도시가스,2458580279,-,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_273/hscp_img_1394792964862oKGub_JPEG/photoinfra_1394792964582.jpg,즉시입주,서초더샵포레 114동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),165세대,12/16층,계단식
11억,전세,공동주택,152.71㎡/114.71㎡(전용률75%),22만원,-,-,개별난방/도시가스,2458578417,"46,반전세가능, 시스템에어컨O.붙박이장O.즉시입주",4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_273/hscp_img_1394792964862oKGub_JPEG/photoinfra_1394792964582.jpg,즉시입주,서초더샵포레 114동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),165세대,12/16층,계단식
14억,매매,공동주택,80.87㎡/59.69㎡(전용률74%),13만원,-,-/-,개별난방/도시가스,2458592835,"25, 공기좋은 도심속 숲세권 단지,트인 숲전망,초등학교 옆단지,입주 가",3/2개,북동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20191210_154/hscp_img_15759434343277JxYs_JPEG/photoinfra_1575943434069.jpg,즉시입주,서초더샵포레 111동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),33세대,7/17층,계단식
6억/50,월세,공동주택,80.7㎡/59.94㎡(전용률74%),15만원,-,-,개별난방/도시가스,2458594482,"25,공기 좋은 숲세권,초등학교 옆단지, 초입동,교통편리",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_233/hscp_img_1394793110503Pr2Qa_JPEG/photoinfra_1394793110214.jpg,즉시입주 협의가능,서초더샵포레 101동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),39세대,11/18층,계단식
"18억 5,000",매매,공동주택,134.92㎡/101.34㎡(전용률75%),20만원,-,-/-,개별난방/도시가스,2458634297,41올숲뷰 올인테리어 갭투자 입주가능,4/2개,남서향(거실 기준),시세 대비 30% 미만,https://landthumb-phinf.pstatic.net/20140314_95/hscp_img_13947925224832IK8A_JPEG/photoinfra_1394792522241.jpg,2025년 1월 1일 협의가능,서초더샵포레 110동,서울시 서초구 내곡동 411,-(세대당 0대),121세대,6/18층,계단식
"16억 5,000",매매,공동주택,135.12㎡/101.31㎡(전용률75%),20만원,-,-/-,개별난방/도시가스,2458582535,41 입주가능.초등5분거리.내부상태최상,4/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_220/hscp_img_1394792355469RB657_JPEG/photoinfra_1394792355209.jpg,즉시입주 협의가능,서초더샵포레 110동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),37세대,9/11층,계단식
"9억 5,000",전세,공동주택,135.18㎡/101.78㎡(전용률75%),22만원,-,-,개별난방/도시가스,2458621135,41 입구동.남향.초등3분.입주조절.,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_266/hscp_img_1394792602222mNImF_JPEG/photoinfra_1394792601751.jpg,즉시입주 협의가능,서초더샵포레 105동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),32세대,11/17층,계단식
6억/50,월세,공동주택,80.7㎡/59.94㎡(전용률74%),18만원,-,-,개별난방/도시가스,2458621339,25 남향.대출무.입구동생활편리.초등3분거리,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20140314_233/hscp_img_1394793110503Pr2Qa_JPEG/photoinfra_1394793110214.jpg,즉시입주,서초더샵포레 101동,서울시 서초구 내곡동 411,1767대(세대당 1.39대),39세대,11/18층,계단식
10억,전세,공동주택,121.38㎡/84.33㎡(전용률69%),25만원,-,-,개별난방/도시가스,2458550777,34 신분당선청계산입구역도보5분 보이는 창마다숲이보여요 빠른입주가능,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
7억/100,월세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,-,개별난방/도시가스,2458570975,34 초역세권 최고라인 전망 정남향  청계산입구역3분 내부상태 굿,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
10억,전세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,-,개별난방/도시가스,2458286549,34 초역세권의 전망좋은 정남향  내부깔끔  월세가능,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
7억/100,월세,공동주택,121.38㎡/84.33㎡(전용률69%),19만원,-,-,개별난방/도시가스,2458258238,34  황금라인신분당선청계산입구역도보5분 내부상태깨끗  정남향 햇빛좋아요,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
"13억 3,000",매매,공동주택,86.52㎡/59.93㎡(전용률69%),15만원,-,-/-,개별난방/도시가스,2458748299,"급매,신분당선 초역세권,공기좋은 도심속 숲세권단지",3/2개,남서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20141020_297/hscp_img_1413773710115RGtcc_JPEG/photoinfra_1413773709587.jpg,2026년 7월 2일 협의가능,서초포레스타6단지 605동,서울시 서초구 신원동 619,615대(세대당 1.05대),45세대,저/7층,계단식
10억,전세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,-,개별난방/도시가스,2457592377,"34  청계산입구역 도보3분,상가인접생활편리,주인거주,월세가능",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,-
7억/100,월세,공동주택,121.38㎡/84.33㎡(전용률69%),27만원,-,-,개별난방/도시가스,2457207242,34p  청계산입구역3분.대출무.남향.즉시입주,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,2024년 12월 10일 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
14억,매매,공동주택,86.35㎡/59.98㎡(전용률69%),18만원,-,-/-,개별난방/도시가스,2458048908,"신분당선  바로 앞 초역세권, 깔끔하고 밝은 판상형구조,예쁜 공원 산책로",3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_80/hscp_img_1413773841039uriDc_JPEG/photoinfra_1413773840470.jpg,2025년 9월 14일 협의가능,서초포레스타6단지 603동,서울시 서초구 신원동 619,615대(세대당 1.05대),19세대,고/7층,-
10억,전세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,-,개별난방/도시가스,2456807988,34 초역세권 최고라인 전망 신분당선청계산입구역3분 내부상태 굿,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
