가격,거래 유형,건축물 용도,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
"4억 3,000",매매,공동주택,32.2㎡/24.48㎡(전용률76%),10만원,정액관리비,-/-,개별난방/도시가스,2457470531,"신축매물.지하주차장완비,반포우수학원가.역세권.서리풀공원,숲세권.인프라최상",2/1개,북동향(거실 기준),-,,즉시입주,위더스하임(도시형) 102동,서울시 서초구 반포동 58-1,24대(세대당 0.82대),5세대,고/6층,계단식
"4억 5,000",매매,공동주택,38.39㎡/29.43㎡(전용률77%),10만원,정액관리비,-/-,개별난방/도시가스,2457470847,"신축.저렴한매물.반포우수학원가.빌트인,갭투자가능.반포우수학원가.역세권.",1/1개,남동향(거실 기준),-,,즉시입주,위더스하임(도시형) 102동,서울시 서초구 반포동 58-1,24대(세대당 0.82대),5세대,저/6층,계단식
"4억 3,000",매매,공동주택,32.2㎡/24.48㎡(전용률76%),확인 어려움도움말,-,-/-,개별난방/도시가스,2457662824,트리플역세권. 입주가능. 교통편리. 반포학원가. 보안최고,1/1개,북향(거실 기준),-,,즉시입주 협의가능,위더스하임(도시형) 102동,서울시 서초구 반포동 58-1,24대(세대당 0.82대),5세대,고/6층,-
9억,매매,공동주택,69.25㎡/52.73㎡(전용률76%),10만원,정액관리비,-/-,개별난방/도시가스,2456075015,"올수리, 고속터미널 역세권, 반포학원가 근처",3/1개,동향(거실 기준),-,,즉시입주 협의가능,위더스하임(도시형) 101동,서울시 서초구 반포동 58-1,24대(세대당 0.82대),4세대,고/6층,계단식
9억,매매,공동주택,69.25㎡/52.73㎡(전용률76%),10만원,정액관리비,-/-,개별난방/도시가스,2455520034,"신축.욕실2개.투자가치우위.갭투자.반포우수학원가.역세권,숲세권.인프라최상",3/1개,동향(거실 기준),-,,즉시입주 협의가능,위더스하임(도시형) 101동,서울시 서초구 반포동 58-1,24대(세대당 0.82대),4세대,고/6층,계단식
"3억 4,000",전세,공동주택,35.59㎡/26.8㎡(전용률75%),10만원,-,-,개별난방/도시가스,2454693360,신축급. 시스템에어콘. 방2. 거실. 지하주차장. 엘베유.,2/1개,북향(거실 기준),-,,즉시입주 협의가능,위더스하임(도시형) 101동,서울시 서초구 반포동 58-1,24대(세대당 0.82대),4세대,저/6층,계단식
3억/320,월세,공동주택,127.51㎡/115.43㎡(전용률91%),30만원,-,-,개별난방/도시가스,2458084398,38 특올수리 입주협의 귀한반전세 보증금조정가능,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141113_249/hscp_img_1415843686126667yV_JPEG/photoinfra_1415843685343.jpg,즉시입주 협의가능,"반포훼밀리(103,104동) 104동",서울시 서초구 반포동 702-1,75대(세대당 1.59대),19세대,5/7층,계단식
5억/240,월세,공동주택,127.51㎡/115.43㎡(전용률91%),12만원,-,-,개별난방/도시가스,2457746141,38 특올수리 고급스런내부 교육환경우수 입주협의 보증금조정가능,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141113_249/hscp_img_1415843686126667yV_JPEG/photoinfra_1415843685343.jpg,즉시입주 협의가능,"반포훼밀리(103,104동) 104동",서울시 서초구 반포동 702-1,75대(세대당 1.59대),19세대,5/7층,계단식
11억,전세,공동주택,123.59㎡/102.09㎡(전용률83%),30만원,-,-,개별난방/도시가스,2458550577,채광좋은집. 내부컨디션 깔끔. 입주협의.,4/2개,남서향(거실 기준),-,,2025년 01월 중순 협의가능,"반포훼밀리(103,104동) 103동",서울시 서초구 반포동 702-1,75대(세대당 1.5대),19세대,고/10층,복도식
11억,전세,공동주택,123.59㎡/102.09㎡(전용률83%),30만원,-,-,개별난방/도시가스,2458550577,채광좋은집. 내부컨디션 깔끔. 입주협의.,4/2개,남서향(거실 기준),-,,2025년 01월 중순 협의가능,"반포훼밀리(103,104동) 103동",서울시 서초구 반포동 702-1,75대(세대당 1.5대),19세대,고/10층,복도식
