가격,거래 유형,건축물 용도,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
12억,매매,공동주택,112.36㎡/101.99㎡(전용률91%),15만원,-,-/-,개별난방/도시가스,2453358048,"급매방배5구역 앞, 아파트",3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141113_250/hscp_img_1415844175384NCE2b_JPEG/photoinfra_1415844174618.jpg,즉시입주 협의가능,승원아트빌 1동,서울시 서초구 방배동 970-13,28대(세대당 1.55대),3세대,2/6층,계단식
12억,매매,공동주택,112.36㎡/101.99㎡(전용률91%),15만원,정액관리비,-/-,개별난방/도시가스,2454165579,방배5구역 초인접 급매,3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141113_250/hscp_img_1415844175384NCE2b_JPEG/photoinfra_1415844174618.jpg,즉시입주 협의가능,승원아트빌 1동,서울시 서초구 방배동 970-13,28대(세대당 1.5대),3세대,2/6층,-
13억,매매,공동주택,101.19㎡/84.66㎡(전용률84%),15만원,정액관리비,-/-,개별난방/도시가스,2457989383,"방3.욕2  올수리하여 깨끗하며, 남향으로 밝고 ,통풍이 잘되는집.",3/2개,남향(거실 기준),없음,,즉시입주,서초스위트빌 1동,서울시 서초구 서초동 1513-5,21대(세대당 1.23대),12세대,고/6층,-
13억,매매,공동주택,100.96㎡/84.47㎡(전용률84%),15만원,-,-/-,개별난방/도시가스,2453438395,"서초역세권,84제곱, 쓰리룸, 고층, 남향",3/2개,남향(거실 기준),-,,즉시입주 협의가능,서초스위트빌 1동,서울시 서초구 서초동 1513-5,21대(세대당 1.23대),5세대,고/6층,계단식
"15억 5,000",매매,공동주택,102.99㎡/84.99㎡(전용률83%),20만원,-,-/-,개별난방/도시가스,2454316200,방배초역세권 올리모델링 거주환경 좋은 아파트입니다.,3/2개,남향(거실 기준),-,,즉시입주 협의가능,방배서리풀힐스 102동,서울시 서초구 방배동 915-16,94대(세대당 1.42대),40세대,저/11층,계단식
"15억 5,000",매매,공동주택,102.99㎡/84.99㎡(전용률83%),20만원,-,-/-,개별난방/도시가스,2454327101,방배역 역세권 올리모델링 입주물 학군 주거환경 우수 교통 편리,3/2개,남향(거실 기준),-,,즉시입주 협의가능,방배서리풀힐스 102동,서울시 서초구 방배동 915-16,-(세대당 0대),40세대,저/11층,계단식
"16억 5,000",매매,공동주택,102.99㎡/84.99㎡(전용률83%),20만원,-,-/-,개별난방/도시가스,2454327692,방배역 역세권 입주물 학군 및 주거환경 우수 교통 편리,3/2개,남향(거실 기준),-,,즉시입주 협의가능,방배서리풀힐스 102동,서울시 서초구 방배동 915-16,94대(세대당 1.42대),40세대,고/11층,계단식
"16억 5,000",매매,공동주택,102.99㎡/84.99㎡(전용률83%),20만원,-,-/-,개별난방/도시가스,2454335272,방배역세권 조용하고 살기좋은 아파트입니다.,3/2개,남향(거실 기준),-,,즉시입주 협의가능,방배서리풀힐스 102동,서울시 서초구 방배동 915-16,94대(세대당 1.42대),40세대,고/11층,계단식
"23억 3,000",매매,공동주택,158.86㎡/130.53㎡(전용률82%),35만원,-,-/-,개별난방/도시가스,2458556552,"O우수학군O 3호선2호선 더블역세권, 전망좋은, 고급아파트",4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327414995152APjti_JPEG/116_10139_1_158_GA1_1285645254047.jpg,즉시입주 협의가능,서초e-편한세상1차 101동,서울시 서초구 서초동 1487-63,314대(세대당 2.03대),154세대,6/15층,계단식
23억,매매,공동주택,158.86㎡/130.53㎡(전용률82%),35만원,-,-/-,개별난방/도시가스,2458414834,입주가능. 남향. 우면산과 학교앞 살기좋은동네. 더블역세권.,4/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120124_236/land_system_1327414995152APjti_JPEG/116_10139_1_158_GA1_1285645254047.jpg,2025년 01월 하순 협의가능,서초e-편한세상1차 102동,서울시 서초구 서초동 1487-63,314대(세대당 2.03대),154세대,7/12층,계단식
