가격,거래 유형,건축물 용도,계약기간,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
45억,매매,-,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-/-,개별난방/도시가스,2457442915,o주인직접o nice 동광단지 복층 층고 높고 시원한 전망 개방감 최고,5/3개,남향(거실 기준),-,,즉시입주 협의가능,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,5/6층,계단식
28억,전세,-,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-,개별난방/도시가스,2457442705,o주인직접o nice 동광단지 복층 층고 높고 시원한 전망 개방감 최고,5/3개,남향(거실 기준),-,,즉시입주 협의가능,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,고/6층,계단식
28억,전세,-,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-,개별난방/도시가스,2457288172,킹스집주인 직접 복층 매물 영상보유,4/3개,남향(안방 기준),-,,즉시입주,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,고/6층,-
28억,전세,-,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-,개별난방/도시가스,2457288172,킹스집주인 직접 복층 매물 영상보유,4/3개,남향(안방 기준),-,,즉시입주,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,고/6층,-
28억,전세,공동주택,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-,개별난방/도시가스,2456190959,KJ 롯데캐슬오스카 복층펜트 테라스 세대 영상보유,5/3개,남향(거실 기준),-,,즉시입주,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,5/6층,계단식
28억,전세,-,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-,개별난방/도시가스,2456246243,킹스 사진20장 첨부 매물  복층 뷰나오는집,4/3개,남향(안방 기준),-,,즉시입주,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,고/6층,-
28억,전세,-,-,239.54㎡/213.95㎡(전용률89%),60만원,정액관리비,-,개별난방/도시가스,2456005129,서래LEADERS. 동광단지롯데캐슬오스카. 복층 펜트하우스 전세.,5/3개,서향(거실 기준),-,,즉시입주 협의가능,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,고/6층,계단식
28억,전세,-,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-,개별난방/도시가스,2456132885,유튜브 킹스 복층 펜트하우스 테라스세대 층고높아요,4/3개,남향(안방 기준),-,,즉시입주,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,고/6층,-
28억,전세,공동주택,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-,개별난방/도시가스,2456358947,전망 좋은 복층형 고급 5룸 아파트,5/3개,서향(거실 기준),-,,즉시입주,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,고/6층,-
28억,전세,-,-,239.54㎡/213.95㎡(전용률89%),60만원,-,-,개별난방/도시가스,2454418404,방배동 롯데캐슬오스카 펜트세대 고급스러운 외관 귀한 전세 매매,4/3개,남향(거실 기준),-,,즉시입주,방배롯데캐슬오스카 1동,서울시 서초구 방배동 1-21,32대(세대당 3.55대),1세대,고/6층,-
