가격,거래 유형,건축물 용도,공급/전용면적,관리비,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),13만원,-/-,개별난방/도시가스,2458645891,25 초역세권 빠른입주가 숲세권 특깨끗 신분당선청계산입구역도보5분,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,고/7층,계단식
15억,매매,공동주택,87.89㎡/59.92㎡(전용률68%),13만원,-/-,개별난방/도시가스,2458747359,"25, 초역세권,도심속 숲세권 청계산뷰,여의천과 편의시설 인접,신혼부부강",3/2개,남서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_13769753030385xAWK_JPEG/photoinfra_1376975302789.jpg,2026년 10월 29일 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),6세대,고/7층,계단식
8억,전세,공동주택,87.72㎡/59.81㎡(전용률68%),18만원,-,개별난방/도시가스,2458560794,청계산입구역 초역세권  숲세권  정원뷰  교통편리  귀한전세,3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_121/hscp_img_1376975271861CS5E1_JPEG/photoinfra_1376975271624.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),18세대,저/7층,계단식
21억,매매,공동주택,122.62㎡/84.6㎡(전용률69%),19만원,"8억5,000/-",개별난방/도시가스,2458493879,34 황금라인신분당선청계산입구역도보5분  갭투자가능한집 내부상태깨끗,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_274/hscp_img_1376975484025OvhSv_JPEG/photoinfra_1376975483736.jpg,2027년 02월 중순 협의가능,서초포레스타7단지 706동,서울시 서초구 신원동 615,332대(세대당 1.07대),5세대,고/6층,계단식
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),16만원,-/-,개별난방/도시가스,2458244794,25 신분당선청계산입구역도보5분 앞이트인집 청계산자락의힐링아파트풀인테리어,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,고/7층,계단식
8억,전세,공동주택,87.72㎡/59.81㎡(전용률68%),18만원,-,개별난방/도시가스,2458153565,"청계산자락초역세권 강남분당황금라인,맑은공기,조용하고 살기좋은 곳",3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_121/hscp_img_1376975271861CS5E1_JPEG/photoinfra_1376975271624.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),18세대,저/7층,계단식
15억,매매,공동주택,87.89㎡/59.92㎡(전용률68%),16만원,-/-,개별난방/도시가스,2457806531,25   신분당선청계산입구역도보5분 앞이트인청계산조망권확보 내부상태깨끗,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_13769753030385xAWK_JPEG/photoinfra_1376975302789.jpg,2026년 10월 하순 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),6세대,고/7층,계단식
15억,매매,공동주택,87.89㎡/59.92㎡(전용률68%),16만원,-/-,개별난방/도시가스,2457104497,"25.청계산입구역도보거리,  내부상태좋음,밝고 환한집",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_13769753030385xAWK_JPEG/photoinfra_1376975302789.jpg,2024년 10월 31일 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),6세대,고/7층,계단식
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),16만원,-/-,개별난방/도시가스,2456945363,25 황금라인신분당선청계산입구역도보5분 도심속숲세권 내부상태깨끗 밝아요,3/2개,남서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,중/7층,계단식
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),18만원,-/-,개별난방/도시가스,2456407886,25 신분당선 초역세권  도심속숲세권 여의천  내부깔끔 판상형,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,고/7층,계단식
