가격,거래 유형,건축물 용도,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
"4억 9,000",전세,공동주택,77.72㎡/69.4㎡(전용률89%),5만원,정액관리비,-,개별난방/도시가스,2456237725,"허그대출, 보증보험100가능",3/2개,남향(거실 기준),-,,2024년 1월 30일 협의가능,성영 1동,서울시 서초구 양재동 206-7,13대(세대당 1대),4세대,4/5층,계단식
"4억 9,000",전세,공동주택,77.72㎡/69.4㎡(전용률89%),5만원,정액관리비,-,개별난방/도시가스,2453385021,"방3화2아파트, 보증보험가입가, 전세대출가능, 깨끗하고 쾌적한 아파트",3/2개,동향(안방 기준),-,,2024년 12월 31일 협의가능,성영 1동,서울시 서초구 양재동 206-7,13대(세대당 0.93대),4세대,4/5층,계단식
"4억 9,000",전세,공동주택,77.72㎡/69.4㎡(전용률89%),8만원,정액관리비,-,개별난방/도시가스,2454054785,방3화2.엘리베이터. 조용한주택가.입주협의,3/2개,남향(거실 기준),-,,2025년 1월 10일 협의가능,성영 1동,서울시 서초구 양재동 206-7,1대(세대당 1대),4세대,4/5층,계단식
6억,매매,-,45.66㎡/35.55㎡(전용률78%),15만원,-,3억/40만원,개별난방/도시가스,2454607590,"세끼고 매매, 반듯한 투룸, 밝고 깨끗한 집,엘리베이터,편리한 주차장",2/1개,남향(거실 기준),-,,2025년 5월 14일 협의가능,반트하임(도시형) 102동,서울시 서초구 양재동 112-1,32대(세대당 0.8대),3세대,4/6층,계단식
"7억 5,000",매매,공동주택,81.52㎡/47.21㎡(전용률58%),10만원,-,-/-,개별난방/도시가스,2454307059,"s실사진s 컨디션 좋은 양재동 아파트 매물, 갭투자 환영",3/2개,남동향(거실 기준),-,,즉시입주 협의가능,서초미르 1동,서울시 서초구 양재동 402-5,12대(세대당 0.62대),4세대,고/7층,계단식
"17억 7,000",매매,공동주택,155.59㎡/130.89㎡(전용률84%),25만원,-,10억/-,중앙난방/도시가스,2458647533,급매 로얄동 올수리 우면산 대모산 청계산 조망,4/2개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20120327_34/hscp_img_13328359056764Svoj_JPEG/GW70765_1332835904341.jpg,2025년 2월 28일 협의가능,대림 106동,서울시 서초구 우면동 57,653대(세대당 1.58대),412세대,14/14층,계단식
"10억 5,000",전세,공동주택,155.59㎡/130.89㎡(전용률84%),47만원,-,-,중앙난방/도시가스,2458687913,로얄동 올수리 방4화2 주차편리 우면산 아래 숲세권 탁트인 거실뷰,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_34/hscp_img_13328359056764Svoj_JPEG/GW70765_1332835904341.jpg,2025년 2월 28일 협의가능,대림 106동,서울시 서초구 우면동 57,653대(세대당 1.58대),412세대,14/14층,-
18억,매매,공동주택,155.59㎡/130.89㎡(전용률84%),47만원,-,-/-,중앙난방/도시가스,2458695943,남향 우면산 아래 숲세권 대형평수 방4화2 주차굿 입주가능,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_34/hscp_img_13328359056764Svoj_JPEG/GW70765_1332835904341.jpg,즉시입주 협의가능,대림 104동,서울시 서초구 우면동 57,653대(세대당 1.58대),412세대,4/15층,-
"18억 2,500",매매,공동주택,155.59㎡/130.89㎡(전용률84%),30만원,-,10억/-,중앙난방/도시가스,2458649001,로얄동 거실에서 청계산 대모산 우면산 조망 숲세권,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_34/hscp_img_13328359056764Svoj_JPEG/GW70765_1332835904341.jpg,2026년 10월 12일 협의가능,대림 106동,서울시 서초구 우면동 57,653대(세대당 1.58대),412세대,11/14층,계단식
18억,매매,공동주택,155.59㎡/130.89㎡(전용률84%),47만원,-,-/-,중앙난방/도시가스,2458477212,남향 로얄층 우면산 숲세권 거실조망좋음 입주가능,4/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20120327_34/hscp_img_13328359056764Svoj_JPEG/GW70765_1332835904341.jpg,즉시입주 협의가능,대림 104동,서울시 서초구 우면동 57,653대(세대당 1.58대),412세대,8/15층,-
