가격,거래 유형,건축물 용도,계약기간,공급/전용면적,관리비,관리비부과기준,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
20억,매매,공동주택,-,142.98㎡/129.8㎡(전용률91%),15만원,정액관리비,-/-,개별난방/도시가스,2455872629,언주역 초역세권 아파트  3룸 아파트매매,3/2개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20170724_234/hscp_img_1500876063181JU7Ff_JPEG/photoinfra_1500876061799.jpg,즉시입주 협의가능,이움 1동,서울시 강남구 논현동 229-13,17대(세대당 1.70대),4세대,중/5층,-
"6억 2,000",매매,공동주택,-,40.3㎡/30.17㎡(전용률75%),8만원,-,-/-,개별난방/도시가스,2456642375,강남구청역 역세권 3룸 신축급 전망굿 엘베주차 호재다수,3/1개,남향(거실 기준),없음,,즉시입주 협의가능,동광팰리스(도시형) 가동,서울시 강남구 논현동 104-5,21대(세대당 0.55대),1세대,6/6층,-
"4억 3,000",매매,공동주택,-,30.99㎡/23.15㎡(전용률75%),10만원,-,-/-,개별난방/도시가스,2455159260,소액투자가능합니다.,2/1개,남동향(거실 기준),-,,2025년 10월 15일 협의가능,동광팰리스(도시형) 가동,서울시 강남구 논현동 104-5,30대(세대당 0.7대),7세대,2/6층,계단식
4억,매매,공동주택,-,31.51㎡/23.59㎡(전용률75%),10만원,-,3억/-,개별난방/도시가스,2455161131,"갶투자,역세권 투룸, 엘리베이터 있습니다.",2/1개,남동향(거실 기준),-,,2025년 3월 30일 협의가능,동광팰리스(도시형) 나동,서울시 강남구 논현동 104-5,30대(세대당 0.7대),8세대,4/6층,계단식
"5억 9,000",매매,공동주택,-,40.3㎡/30.17㎡(전용률75%),10만원,-,-/-,개별난방/도시가스,2456524979,"강남구청역 인접, 쓰리룸입니다.",3/1개,남동향(거실 기준),-,,2026년 8월 15일 협의가능,동광팰리스(도시형) 가동,서울시 강남구 논현동 104-5,21대(세대당 0.5대),1세대,6/6층,-
6억,매매,공동주택,-,41.94㎡/31.08㎡(전용률74%),8만원,-,"3,000/160만원",개별난방/도시가스,2453472165,강남구청역 역세권 신축급 2룸 세안고 매매,2/1개,북향(거실 기준),없음,,즉시입주 협의가능,동광팰리스(도시형) 나동,서울시 강남구 논현동 104-5,21대(세대당 0.55대),1세대,6/6층,계단식
4억,매매,공동주택,-,34.63㎡/25.65㎡(전용률74%),10만원,-,-/-,개별난방/도시가스,2455160613,갶투자. 소액투자 가능합니다.,2/1개,남동향(거실 기준),-,,즉시입주 협의가능,동광팰리스(도시형) 나동,서울시 강남구 논현동 104-5,30대(세대당 0.7대),4세대,4/6층,계단식
"4억 1,500",매매,공동주택,-,31.51㎡/23.59㎡(전용률75%),8만원,정액관리비,-/-,개별난방/도시가스,2453294472,"가성비추천,신축급 2룸,주차편리,빠른입주,강남구청역 5분 더블역세권",2/1개,남향(안방 기준),없음,,즉시입주,동광팰리스(도시형) 나동,서울시 강남구 논현동 104-5,21대(세대당 1대),8세대,4/6층,계단식
5억,매매,공동주택,-,30.99㎡/23.15㎡(전용률75%),10만원,-,"3억1,000/-",개별난방/도시가스,2453705814,갶투자가능합니다.,2/1개,남서향(거실 기준),-,,즉시입주,동광팰리스(도시형) 가동,서울시 강남구 논현동 104-5,21대(세대당 0.5대),7세대,3/6층,계단식
"2,000/105",월세,공동주택,-,32.23㎡/18.89㎡(전용률59%),9만원,정액관리비,-,개별난방/도시가스,2457268672,학동역대로변 귀한 신축 오피스텔 전입가능 주차가능,1/1개,북서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20210903_254/hscp_img_1630633172786Oy4AK_JPEG/photoinfra_1630633172538.jpg,2024년 12월 26일 협의가능,N168(도시형) 1동,서울시 강남구 논현동 128-6,83대(세대당 0.52대),48세대,8/9층,복도식
"2,000/135",월세,공동주택,-,43.09㎡/25.82㎡(전용률60%),"14만 3,000원",-,-,개별난방/도시가스,2457014693,원룸원거실 전입가능 소득공제가능 깨끗한 도시형생활주택,1/1개,북서향(거실 기준),-,,2025년 1월 3일 협의가능,N168(도시형) 1동,서울시 강남구 논현동 128-6,83대(세대당 0.6대),6세대,고/9층,복도식
"2,000/107",월세,공동주택,-,30.96㎡/18.12㎡(전용률59%),"12만 8,000원",-,-,개별난방/도시가스,2457014049,전입신고 및 소득공제 가능 깨끗한 도시형생활주택 빨래방 카페입점,1/1개,남서향(안방 기준),-,,2024년 12월 4일 협의가능,N168(도시형) 1동,서울시 강남구 논현동 128-6,83대(세대당 0.6대),12세대,고/9층,복합식
3억,전세,공동주택,-,29.55㎡/20.12㎡(전용률68%),12만원,정액관리비,-,개별난방/도시가스,2457575146,잠원역 인근 한강뷰 아파트,1/1개,남동향(거실 기준),-,,즉시입주 협의가능,잠원시티 1동,서울시 서초구 잠원동 71-8,15대(세대당 0.51대),9세대,6/11층,계단식
"5억 4,000",매매,-,-,31.09㎡/21.17㎡(전용률68%),15만원,-,-/-,개별난방/도시가스,2457145260,세안고,1/1개,북향(거실 기준),없음,,2023년 6월 22일,잠원시티 1동,서울시 서초구 잠원동 71-8,15대(세대당 0.51대),10세대,중/11층,복도식
"2억 9,400",전세,-,-,33.44㎡/22.77㎡(전용률68%),12만원,-,-,개별난방/도시가스,2456030680,신축 입주협의,1/1개,북향(거실 기준),-,,즉시입주,잠원시티 1동,서울시 서초구 잠원동 71-8,15대(세대당 0.51대),10세대,6/11층,복도식
"2억 9,400",전세,-,-,33.44㎡/22.77㎡(전용률68%),12만원,-,-,개별난방/도시가스,2453451190,신축아파트,1/1개,북향(거실 기준),-,,즉시입주 협의가능,잠원시티 1동,서울시 서초구 잠원동 71-8,15대(세대당 0.51대),10세대,중/11층,복합식
"5,000/270",월세,공동주택,-,96.82㎡/84.28㎡(전용률87%),20만원,-,-,개별난방/도시가스,2457553020,추천물건 탁트인 전망 로얄층,3/2개,동향(거실 기준),-,,즉시입주,라디안 1동,서울시 강남구 논현동 47-10,13대(세대당 1.3대),2세대,고/5층,계단식
"5,000/270",월세,공동주택,-,96.82㎡/84.28㎡(전용률87%),20만원,정액관리비,-,개별난방/도시가스,2458043699,전망채광좋은 고층 월세매물 입주협의,3/2개,동향(거실 기준),-,,즉시입주,라디안 1동,서울시 강남구 논현동 47-10,13대(세대당 1.3대),2세대,고/5층,계단식
"12억 5,000",매매,공동주택,-,112.69㎡/95.58㎡(전용률85%),30만원,-,-/-,개별난방/도시가스,2458471322,"일조량 충분,거실, 방 등이 넓고 쾌적한 장점이 있음,조용한단지",3/2개,남동향(거실 기준),-,,2025년 2월 1일 협의가능,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),6세대,3/8층,계단식
12억,매매,공동주택,-,100.55㎡/84.96㎡(전용률84%),22만원,정액관리비,6억/-,개별난방/도시가스,2458419114,"올수리 세안고 매매, 교통 편리함.",3/2개,남동향(거실 기준),-,,2026년 05월 하순 협의가능,잠원아이비 1동,서울시 서초구 잠원동 34-1,38대(세대당 1.22대),13세대,5/8층,복합식
